cohort_id,subject_candidacy_id,certified_name,resulting_person_id,luna_report_path,terra_report_path,review_date,review_status,limitations,confirmed_count,held_count,split_count,rejected_count,evidence_urls,primary_rationale
toronto-trustee-2026,can_4b90bb3f92415cbeacd9c49294844657,Rosina Bonavota,,docs/research/trustee-career/2026/can_4b90bb3f92415cbeacd9c49294844657-luna.md,docs/research/trustee-career/2026/can_4b90bb3f92415cbeacd9c49294844657-terra.md,2026-08-27,reviewed_with_limitations,One or more plausible prior occurrences could not be linked with sufficient evidence.,0,4,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://kscheuer.wordpress.com/2010/05/26/rosina-bonavota-withdraws-ward-15/;https://www.toronto.ca/wp-content/uploads/2017/08/8f72-election-2006-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf;https://www.toronto.ca/wp-content/uploads/2017/08/9021-election-2014-councillor-poll-by-poll-results.pdf;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna. Sol independently re-reviewed every occurrence Terra had held.
toronto-trustee-2026,can_62de67b8b5ec5d119f07221a40f6132a,Renato Fallico,,docs/research/trustee-career/2026/can_62de67b8b5ec5d119f07221a40f6132a-luna.md,docs/research/trustee-career/2026/can_62de67b8b5ec5d119f07221a40f6132a-terra.md,2026-08-27,reviewed_with_limitations,One or more plausible prior occurrences could not be linked with sufficient evidence.,0,1,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://tcdsbpublishing.escribemeetings.com/FileStream.ashx?DocumentId=32333;https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf;https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en;https://thelocal.to/ward-10-spadina-fort-york/,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna. Sol independently re-reviewed every occurrence Terra had held.
toronto-trustee-2026,can_3aa1d130e8f3503c941983d9258b7fb9,David Le,per_20c03379c8e55a0d9f0896b492aeabe4,docs/research/trustee-career/2026/can_3aa1d130e8f3503c941983d9258b7fb9-luna.md,docs/research/trustee-career/2026/can_3aa1d130e8f3503c941983d9258b7fb9-terra.md,2026-08-27,reviewed,,0,0,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna.
toronto-trustee-2026,can_fe42206a6fe95bdeb68178b4e8826d73,Jonathan Santos,per_d4fd43c85f57536d8660289229689293,docs/research/trustee-career/2026/can_fe42206a6fe95bdeb68178b4e8826d73-luna.md,docs/research/trustee-career/2026/can_fe42206a6fe95bdeb68178b4e8826d73-terra.md,2026-08-27,reviewed,,0,0,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna.
toronto-trustee-2026,can_1161ca93a4615c7698106e70b18a5d53,Dedan Deus,per_5e54b43896845a13823ece555800b50f,docs/research/trustee-career/2026/can_1161ca93a4615c7698106e70b18a5d53-luna.md,docs/research/trustee-career/2026/can_1161ca93a4615c7698106e70b18a5d53-terra.md,2026-08-27,reviewed,,0,0,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna.
toronto-trustee-2026,can_7aab9acba89353a7a68beeb8345c4884,Angus Grant,,docs/research/trustee-career/2026/can_7aab9acba89353a7a68beeb8345c4884-luna.md,docs/research/trustee-career/2026/can_7aab9acba89353a7a68beeb8345c4884-terra.md,2026-08-27,reviewed_with_limitations,One or more plausible prior occurrences could not be linked with sufficient evidence.,0,1,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://secure.toronto.ca/EFD/jsf/candidate2018/candidate_campaign_status.xhtml?campaign=15;https://www.ontario.ca/orders-in-council/oc-8552018;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna. Sol independently re-reviewed every occurrence Terra had held.
toronto-trustee-2026,can_d4c1bd7d367e520b8bbc362ec0f3fc2c,Dameon Halstead,,docs/research/trustee-career/2026/can_d4c1bd7d367e520b8bbc362ec0f3fc2c-luna.md,docs/research/trustee-career/2026/can_d4c1bd7d367e520b8bbc362ec0f3fc2c-terra.md,2026-08-27,reviewed_with_limitations,One or more plausible prior occurrences could not be linked with sufficient evidence.,0,1,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://dameonhalstead.ca/donate/;https://secure.toronto.ca/EFD/jsf/candidate2018/candidate_campaign_status.xhtml?campaign=15;https://www.campaignlifecoalition.com/voting-records/view/level/councillor/province/on/id/15486/name/dameon-halstead;https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna. Sol independently re-reviewed every occurrence Terra had held.
toronto-trustee-2026,can_bb43967e9b9856a8a1afd8e3e33a0aab,Curtis Jack,per_b0f8c851c92c556b819e6d4041e70f89,docs/research/trustee-career/2026/can_bb43967e9b9856a8a1afd8e3e33a0aab-luna.md,docs/research/trustee-career/2026/can_bb43967e9b9856a8a1afd8e3e33a0aab-terra.md,2026-08-27,reviewed,,0,0,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://thelocal.to/tdsb-catholic-school-board-trustee-election-2026/,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna.
toronto-trustee-2026,can_c653fe3a72c05a0caeb56eee3eb8fd12,Abdul Azeem Mohammed,per_cd708cc70d2157b489bebcd8d795de01,docs/research/trustee-career/2026/can_c653fe3a72c05a0caeb56eee3eb8fd12-luna.md,docs/research/trustee-career/2026/can_c653fe3a72c05a0caeb56eee3eb8fd12-terra.md,2026-08-27,reviewed,,0,0,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://www.tdsb.on.ca/Portals/0/CommitteesMeetings/47414/2024-11-19/PIAC%20Membership%20WG%20Report%202024_11_19%20Amd.pdf,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna.
toronto-trustee-2026,can_4eae390042ec54b1ac198df07635ab16,Ravicha Ravinthiran,per_d2a670d7a1285943a20b7ad9e866f278,docs/research/trustee-career/2026/can_4eae390042ec54b1ac198df07635ab16-luna.md,docs/research/trustee-career/2026/can_4eae390042ec54b1ac198df07635ab16-terra.md,2026-08-27,reviewed,,0,0,0,0,https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json;https://utsc.utoronto.ca/news-events/news/bruce-kidd-and-alumna-honoured-stars-scarborough-walk-fame;https://www.tpma.ca/volunteer-spotlight/ravicha-ravinthiran,Terra independently reviewed the complete Toronto 2003+ search; its adjudication controls after comparison with Luna.
